spotify_id,spotify_uri,album,name,popularity,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3uSATa7xWXVJrMhJJSnGGk,spotify:track:3uSATa7xWXVJrMhJJSnGGk,72 Seasons,72 Seasons,71,2023-04-14,1,0.196,0.981,9,-3.865,1,0.0574,4.16e-05,0.052,0.0636,0.403,168.183,459120,4
5iG1GycXpheJ5xMW0gNvKv,spotify:track:5iG1GycXpheJ5xMW0gNvKv,72 Seasons,Shadows Follow,70,2023-04-14,2,0.316,0.978,11,-3.937,1,0.0507,0.000106,0.0325,0.325,0.671,178.554,371880,4
2hBn08QphNtdnhwDNtnZMg,spotify:track:2hBn08QphNtdnhwDNtnZMg,72 Seasons,Screaming Suicide,68,2023-04-14,3,0.427,0.973,4,-3.469,0,0.0445,2.66e-05,0.02,0.26,0.317,100.979,330453,4
6HeYgpgqEo8SGis4dHwRbu,spotify:track:6HeYgpgqEo8SGis4dHwRbu,72 Seasons,Sleepwalk My Life Away,68,2023-04-14,4,0.45,0.949,11,-4.181,1,0.0343,2.13e-05,0.0404,0.0977,0.53,124.949,416067,4
1ALXFmNr7lrTug2LAE989q,spotify:track:1ALXFmNr7lrTug2LAE989q,72 Seasons,You Must Burn!,67,2023-04-14,5,0.235,0.958,4,-3.069,1,0.0426,8.97e-05,0.0173,0.0374,0.453,172.774,423013,4
6eXWc7irALyENtbAD2TTOT,spotify:track:6eXWc7irALyENtbAD2TTOT,72 Seasons,Lux Æterna,68,2023-04-14,6,0.401,0.996,11,-3.327,0,0.0714,1.15e-05,0.000879,0.121,0.226,130.596,201760,4
6eiFVKWhv9EYL2RdrVFtyC,spotify:track:6eiFVKWhv9EYL2RdrVFtyC,72 Seasons,Crown of Barbed Wire,66,2023-04-14,7,0.441,0.963,9,-3.984,1,0.0363,1.9e-05,0.0243,0.0582,0.245,111.68,349400,4
0aHwh2rqyJNN0eZ4sGZLEt,spotify:track:0aHwh2rqyJNN0eZ4sGZLEt,72 Seasons,Chasing Light,65,2023-04-14,8,0.251,0.981,4,-3.59,0,0.0557,2.33e-05,0.0456,0.408,0.68,182.396,405107,4
1oCQLSGSiHozdyx7lOqkIt,spotify:track:1oCQLSGSiHozdyx7lOqkIt,72 Seasons,If Darkness Had a Son,66,2023-04-14,9,0.478,0.939,9,-4.349,1,0.0443,2.67e-05,0.00488,0.0511,0.396,123.391,396293,4
2ZPnedMaS4W1de05Xz18hF,spotify:track:2ZPnedMaS4W1de05Xz18hF,72 Seasons,Too Far Gone?,66,2023-04-14,10,0.472,0.989,0,-4.131,1,0.0443,2.99e-05,0.0254,0.0808,0.452,96.541,273693,4
3L82LuRzu60EPSK1yf5Pxr,spotify:track:3L82LuRzu60EPSK1yf5Pxr,72 Seasons,Room of Mirrors,65,2023-04-14,11,0.281,0.987,6,-3.503,0,0.0593,2.52e-05,0.0656,0.11,0.671,159.37,333707,4
589aAz8258JEsMwpJglalU,spotify:track:589aAz8258JEsMwpJglalU,72 Seasons,Inamorata,66,2023-04-14,12,0.497,0.869,11,-4.046,1,0.0319,0.000303,0.00794,0.067,0.284,120.41,670253,4
3DwQ7AH3xGD9h65ezslm6q,spotify:track:3DwQ7AH3xGD9h65ezslm6q,Metallica (Remastered Deluxe Box Set),Enter Sandman - Remastered 2021,53,2021-09-10,1,0.569,0.838,6,-8.421,0,0.0302,0.0026,0.00836,0.0628,0.615,123.299,331560,4
5ltXoDLlI0rFZAmOXbAp5T,spotify:track:5ltXoDLlI0rFZAmOXbAp5T,Metallica (Remastered Deluxe Box Set),Sad But True - Remastered 2021,48,2021-09-10,2,0.625,0.876,7,-5.998,1,0.035,0.000848,0.00198,0.0639,0.46,89.233,324600,4
3lkNCZqp4TcoUTLCFG2K8n,spotify:track:3lkNCZqp4TcoUTLCFG2K8n,Metallica (Remastered Deluxe Box Set),Holier Than Thou - Remastered 2021,43,2021-09-10,3,0.458,0.969,5,-5.923,1,0.0412,0.00156,0.255,0.0841,0.348,172.096,227573,4
6pAIZfkNBQh4RAiOliPo4t,spotify:track:6pAIZfkNBQh4RAiOliPo4t,Metallica (Remastered Deluxe Box Set),The Unforgiven - Remastered 2021,45,2021-09-10,4,0.526,0.579,7,-9.489,1,0.0257,0.0179,0.00861,0.216,0.211,139.496,387160,4
78m5YarfdWeMtlVyMVC2Mm,spotify:track:78m5YarfdWeMtlVyMVC2Mm,Metallica (Remastered Deluxe Box Set),Wherever I May Roam - Remastered 2021,46,2021-09-10,5,0.537,0.831,9,-7.467,0,0.0364,0.000617,0.000571,0.117,0.351,131.384,404333,4
0G2jAIMadIhZSN74fmSV0R,spotify:track:0G2jAIMadIhZSN74fmSV0R,Metallica (Remastered Deluxe Box Set),Don't Tread on Me - Remastered 2021,41,2021-09-10,6,0.656,0.881,4,-6.446,0,0.0498,0.00772,0.00316,0.194,0.685,108.012,240160,4
5XdrV8cy2mpuVP0ukTYP38,spotify:track:5XdrV8cy2mpuVP0ukTYP38,Metallica (Remastered Deluxe Box Set),Through the Never - Remastered 2021,40,2021-09-10,7,0.38,0.952,4,-5.954,0,0.0543,0.0113,0.272,0.124,0.464,94.302,244533,4
6QAsrXPnMSXIbV0yEJHlEX,spotify:track:6QAsrXPnMSXIbV0yEJHlEX,Metallica (Remastered Deluxe Box Set),Nothing Else Matters - Remastered 2021,46,2021-09-10,8,0.548,0.395,4,-9.794,0,0.0268,0.0543,5.41e-06,0.0791,0.182,142.372,388733,3
